Country Code,Country Name_x,Continent_x,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AFE,Africa Eastern and Southern,Africa,12.391843429179,12.5436468069337,14.2770861258338,13.5939767531196,13.402498134921,13.1024151668822,12.992789917496,12.8743192327329,13.0076500023729,12.9736528640868,12.887711304244,13.2810048837064,14.1386435764394,14.1374656285462,14.134125491122
AFG,Afghanistan,Asia,10.852,10.794,10.667,10.441,10.393,10.224,10.086,12.495,14.902,17.303,17.292,17.339,16.053,16.39,17.75
AFW,Africa Western and Central,Africa,8.5287988364513,8.588387584307,8.62652886084698,8.53182365440397,8.5396987252072,8.08447901320495,8.43270703010195,8.86058618801941,8.69028626350967,8.78593200122265,8.91015862820802,9.0055646827141,10.4448332916934,9.87478674828848,9.72614815973133
AGO,Angola,Africa,8.641,8.659,19.8,17.216,16.791,16.595,16.428,16.437,16.436,16.363,16.343,16.283,17.967,17.523,17.279
ALB,Albania,Europe,26.553,27.324,30.885,22.733,28.987,31.318,39.744,39.874,36.172,31.403,28.305,27.161,30.846,29.505,27.788
ARB,Arab World,Middle East,23.8061252245583,22.6092677083681,23.2031791587247,25.3075807296372,26.960190599477,27.0612597715825,27.0682497723488,28.245064973934,27.8765743933314,28.5542791408119,27.5446870548967,26.3739319290541,28.2557167612628,27.2768239318598,26.6823737788474
ARE,United Arab Emirates,Asia,6.071,5.903,5.714,5.605,5.529,5.381,5.211,5.008,4.813,7.156,6.662,7.405,14.119,10.493,9.288
ARG,Argentina,South America,18.932,21.198,19.369,18.716,18.343,19.557,19.132,20.148,21.827,22.831,23.83,25.812,30.407,23.37,18.569
ARM,Armenia,Asia,12.683,13.557,15.149,16.521,17.936,19.218,20.65,22.125,23.558,25.43,26.981,24.609,23.76,24.754,24.565
AUS,Australia,Oceania,8.806,11.459,11.534,11.359,11.714,12.217,13.305,13.107,12.634,12.591,11.786,11.753,14.211,11.24,8.287
AUT,Austria,Europe,8.488,10.646,9.445,8.91,9.393,9.661,10.265,10.566,11.228,9.777,9.363,8.514,10.438,10.942,9.396
AZE,Azerbaijan,Asia,13.613,13.616,14.555,14.415,13.896,13.33,13.287,13.208,13.224,12.917,12.717,12.406,17.404,14.28,13.398
BDI,Burundi,Africa,2.144,2.221,2.303,2.413,2.542,2.707,2.926,2.673,2.343,2.018,1.688,1.354,1.723,1.658,1.554
BEL,Belgium,Europe,17.975,21.935,22.391,18.733,19.743,23.704,23.202,22.12,20.095,19.277,15.767,14.265,15.329,18.208,16.266
BEN,Benin,Africa,1.766,1.959,2.141,5.461,5.209,4.948,4.75,4.618,4.369,4.107,3.867,3.89,4.47,4.325,4.179
BFA,Burkina Faso,Africa,5.547,5.829,5.97,6.24,6.482,6.735,7.005,7.222,7.387,7.587,7.781,7.811,8.607,8.504,8.469
BGD,Bangladesh,Asia,8.953,9.66,6.373,7.549,8.718,9.881,10.268,10.666,11.051,12.219,12.293,12.366,14.383,13.772,12.928
BGR,Bulgaria,Europe,12.766,16.226,21.942,25.055,28.127,28.409,23.796,21.669,17.234,12.932,12.685,8.897,14.205,15.847,12.227
BHR,Bahrain,Asia,4.552,4.824,4.96,5.258,5.402,5.471,5.49,5.488,5.57,5.702,5.867,5.991,7.774,7.15,6.629
BHS,Bahamas,North America,17.155,26.255,26.688,27.287,30.74,34.847,29.238,25.001,25.944,21.561,24.25,24.434,29.898,27.21,23.854
BIH,Bosnia and Herzegovina,Europe,47.581,48.94,57.942,58.055,63.486,59.808,63.373,63.15,55.099,46.518,39.453,34.102,36.892,35.332,33.469
